,subj_idx,subnum_J,turkId, Private ID,Direction,PDI,PDI_GROUP,CAPS,CAPS_GROUP,ASI,ASI_GROUP,dospert,DOSPERT_GROUP,samples,SAMPLES_GROUP,ranks,gender,language,education,religion,crtFamiliarity,verbalReasoning,wordSum,crt,intuitive,cape,pdiDichot,beadsDraws,DTD_GROUP,la_bead,adj_3,adj_6,adj_9,overAdjust,ipr,pr,bade,evidenceInt,evidIntImp,bace,posResp,la_bade,attempts,unchanged_bade,unchanged_bead,checks_passed,inattentive,unresponsive,check_match,drift_rate,decision_trheshold,trial,rt,response
2264,gllrgo,547,A1GRPIBHW72HDU,1649955,Right,58,HPDI,25,HCAPS,10,HASI,121,HDOSPERT,5.666666667,HSAM,7.25,1,1,2,75,5.0,0.75,0.571428571,0.857142857,0.142857143,4,7,9,LDTD,65,0,0,0,0,51.0,1.0,-0.2675,1.175,0.8875,0.3,3.9175,0.4625,0,0,0,2,False,False,True,0.829680745,2.81146072,1,2.6307586206896554,0.8275862068965517
2353,tgrckb,656,APDDA1Y59RHV9,1649956,Right,17,LPDI,18,HCAPS,12,HASI,63,LDOSPERT,5.833333333,HSAM,7.0,0,1,2,100,4.0,0.5,0.571428571,0.571428571,0.285714286,1,2,10,HDTD,89,-15,-2,1,-16,45.5,17.5,-0.745,-0.29375,0.3825,0.25375,4.3375,0.33625,0,0,0,3,False,False,True,2.568106447,1.313370111,1,0.7622965,0.9333333333333333
1939,xsblsk,276,A3MYPYBVHX7FQ2,1649961,Right,150,HPDI,97,HCAPS,18,HASI,137,HDOSPERT,5.333333333,LSAM,7.166666667,1,1,2,100,5.0,1.0,0.785714286,0.571428571,0.428571429,12,16,11,HDTD,0,0,0,0,0,50.5,0.5,-0.3275,0.5475,0.57,0.41,3.42625,0.31375,0,0,0,3,False,False,True,2.302260952,2.588005265,1,0.7514428333333334,0.9333333333333333
3533,yzqvim,663,A3OV174HQJIJK8,1649968,Right,28,HPDI,0,LCAPS,7,HASI,52,LDOSPERT,6.833333333,HSAM,6.0,1,1,2,100,5.0,0.75,1.0,1.0,0.0,2,3,14,HDTD,100,0,-5,0,-5,57.5,0.0,-0.49625,0.68125,0.81375,0.1775,4.3525,0.44,1,1,0,3,False,False,True,0.933246495,2.593472197,1,2.1291805172413794,0.8275862068965517
2413,btesru,53,A31898LQJO7I3,1649969,Right,7,LPDI,5,LCAPS,9,HASI,79,LDOSPERT,5.833333333,HSAM,6.416666667,1,1,3,40,5.0,1.0,0.714285714,0.714285714,0.285714286,1,1,9,LDTD,60,0,0,0,0,50.0,2.5,-0.96875,-0.755,0.11,0.23,4.1275,0.10875,0,0,0,3,False,False,True,0.87289338,3.021680194,1,2.2247,0.8666666666666667
2383,hnzlsr,948,A22LQL0UHAOMC9,1649972,Right,0,LPDI,0,LCAPS,2,LASI,67,LDOSPERT,5.833333333,HSAM,4.833333333,0,1,3,100,5.0,0.5,0.714285714,0.857142857,0.142857143,0,0,11,HDTD,56,-9,1,2,-6,60.0,0.5,-0.54,0.22625,0.54,0.26,4.06,0.33125,0,0,0,3,False,False,True,1.805960427,1.255101749,1,0.9312666666666666,0.8666666666666667
1172,nhtyds,197,A2TUUIV61CR0C7,1649974,Right,63,HPDI,4,LCAPS,6,LASI,69,LDOSPERT,4.833333333,LSAM,6.916666667,0,1,1,50,1.0,1.0,0.714285714,0.428571429,0.571428571,7,6,12,HDTD,40,0,0,0,0,50.0,0.0,-0.4175,0.595,0.67125,0.2475,4.19625,0.3125,0,0,0,3,False,False,True,0.445476504,2.488406676,1,2.1013561666666667,0.8333333333333334
116,hsddii,819,A2EED3HLTA96CP,1649978,Right,0,LPDI,0,LCAPS,0,LASI,60,LDOSPERT,2.666666667,LSAM,6.5,0,1,3,1,4.0,0.75,1.0,0.857142857,0.142857143,0,0,11,HDTD,66,-2,0,0,-2,50.0,1.0,-0.6525,-0.48875,0.215,0.46,3.23875,0.1825,0,1,0,3,False,False,True,1.494927896,1.983560331,1,1.2711666666666666,0.9333333333333333
1144,hgsqom,345,A7XOIQCYY2YCO,1649984,Right,23,HPDI,0,LCAPS,2,LASI,56,LDOSPERT,4.833333333,LSAM,6.666666667,0,1,3,100,4.0,1.0,0.642857143,0.714285714,0.285714286,0,2,14,HDTD,80,0,-12,0,-12,50.0,0.0,-0.23125,1.02125,0.77125,0.16375,3.65625,0.35375,0,0,0,3,False,False,True,1.150991054,6.349267642,1,3.3310714285714282,0.9642857142857143
2204,drviyd,284,A2CHDWKAYZ3P3E,1649986,Left,22,HPDI,0,LCAPS,7,HASI,80,LDOSPERT,5.666666667,HSAM,6.833333333,1,1,1,10,5.0,0.5,0.571428571,0.285714286,0.714285714,1,2,9,LDTD,82,-23,-9,0,-32,66.0,0.0,-0.55875,-0.7,0.155,0.5075,3.07875,0.14,0,0,0,2,False,False,True,1.927068243,1.015281139,1,0.5087323333333333,0.8666666666666667
3091,moxvav,471,A3HFFCEJ22YZFV,1649987,Left,0,LPDI,10,LCAPS,5,LASI,72,LDOSPERT,6.333333333,HSAM,6.833333333,0,1,1,100,5.0,0.5,0.571428571,0.571428571,0.285714286,0,0,1,LDTD,50,0,23,0,23,40.0,3.5,-0.2325,0.99375,0.94375,0.28625,4.665,0.3,0,0,1,3,False,False,True,2.159409907,1.516012098,1,1.09402,0.8333333333333334
206,qgxajp,411,A7P3R1AIA4TVV,1649989,Right,4,LPDI,0,LCAPS,0,LASI,98,HDOSPERT,2.833333333,LSAM,6.0,1,1,1,0,3.0,0.5,0.714285714,0.428571429,0.428571429,0,1,9,LDTD,90,0,0,0,0,50.0,0.0,-0.01,1.30875,0.9275,0.36125,3.2475,0.40625,1,3,0,3,False,False,True,0.995310644,2.40888339,1,1.394787,0.9
2057,uvfxjp,365,A2H8HVANGF4A58,1649991,Left,41,HPDI,27,HCAPS,13,HASI,105,HDOSPERT,5.5,HSAM,6.166666667,1,1,3,70,4.0,0.75,0.571428571,0.142857143,0.857142857,2,4,4,LDTD,50,-3,-5,-2,-10,57.0,0.5,-0.4425,0.65125,0.85125,0.09875,5.10375,0.37125,0,0,0,3,False,False,True,0.006149421,2.006514448,1,1.4808789285714286,0.6071428571428571
3473,yrmiea,802,A2Q7BWWDXGQJQR,1649994,Left,0,LPDI,0,LCAPS,1,LASI,85,HDOSPERT,6.666666667,HSAM,5.166666667,1,1,3,10,3.0,0.25,0.714285714,0.428571429,0.571428571,0,0,12,HDTD,76,0,0,0,0,50.5,0.5,-0.37375,0.365,0.5925,0.3675,3.36375,0.29625,0,1,0,3,False,False,True,1.597526547,2.313953427,1,1.4710386666666666,0.9666666666666667
2443,zzijii,480,A2B93NS1ZZ7QD7,1650000,Left,29,HPDI,0,LCAPS,0,LASI,80,LDOSPERT,5.833333333,HSAM,6.0,1,1,1,40,5.0,1.0,0.785714286,0.857142857,0.142857143,4,4,13,HDTD,60,-2,0,0,-2,52.0,0.0,-0.43875,0.61875,0.8,0.2225,4.8525,0.33375,0,0,0,3,False,False,True,1.834568852,3.005383319,1,1.6503076666666667,0.9
3414,ewmyig,833,A3N6SBFK109S07,1650011,Right,23,HPDI,17,HCAPS,6,LASI,107,HDOSPERT,6.5,HSAM,5.916666667,1,1,3,0,1.0,1.0,0.785714286,0.428571429,0.571428571,2,3,9,LDTD,90,0,0,0,0,59.0,0.5,-0.18375,1.32125,0.91625,0.18375,3.9,0.3975,0,3,0,3,False,False,True,-0.142836735,1.822891864,1,1.5999337931034483,0.5862068965517241
3793,fjfpnk,357,A13WYZ8AXD6ODX,1650023,Right,54,HPDI,32,HCAPS,9,HASI,96,HDOSPERT,7.0,HSAM,5.833333333,1,1,1,1,5.0,0.75,0.642857143,0.0,1.0,6,6,11,HDTD,85,0,0,0,0,50.0,0.0,-0.64125,0.08875,0.465,0.3675,3.66125,0.4175,0,0,0,2,False,False,True,1.622669244,5.496108431,1,2.4499931666666668,0.9666666666666667
2563,etexfx,24,A1VM06KJPJEYUD,1650024,Right,21,LPDI,6,LCAPS,0,LASI,64,LDOSPERT,6.0,HSAM,6.0,1,1,3,0,1.0,1.0,0.785714286,0.714285714,0.285714286,2,3,8,LDTD,75,-5,-2,-3,-10,57.5,1.0,-0.505,0.3875,0.6825,0.33125,3.85875,0.4975,0,0,0,3,False,False,True,0.978485968,1.541207615,1,1.0512635000000001,0.8
2711,listjc,590,A1SLJKNSNHOJRN,1650025,Right,38,HPDI,25,HCAPS,7,HASI,89,HDOSPERT,6.0,HSAM,6.5,1,1,3,45,5.0,0.5,0.928571429,1.0,0.0,4,4,13,HDTD,75,0,0,0,0,50.5,0.0,-0.1875,0.96875,0.7525,0.37125,3.25875,0.39625,0,1,0,3,False,False,True,1.019050173,2.139975399,1,1.4930581666666667,0.9666666666666667
2887,bhjnda,457,A3VENK02U0X16N,1650060,Left,27,HPDI,53,HCAPS,4,LASI,64,LDOSPERT,6.166666667,HSAM,6.833333333,0,1,4,5,5.0,1.0,0.928571429,0.857142857,0.142857143,4,5,8,LDTD,76,-7,0,-3,-10,58.0,5.5,-0.3325,0.86375,0.77,0.3525,3.99,0.41625,0,0,0,3,False,False,True,0.546658456,2.81265243,1,2.0744375,0.7
1084,nktsrp,991,A1EH9BPKYXFBS5,1650062,Right,10,LPDI,0,LCAPS,7,HASI,120,HDOSPERT,4.666666667,LSAM,5.5,0,1,4,0,4.0,0.75,0.928571429,0.857142857,0.142857143,1,1,9,LDTD,94,0,0,0,0,57.5,0.0,-0.03875,1.41875,1.04125,0.3325,3.7725,0.45,0,0,1,2,False,False,True,2.828870067,4.163160824,1,1.1794783333333332,1.0
525,mxjgzd,194,A2O7LNRIBPIHAF,1650063,Left,45,HPDI,17,HCAPS,9,HASI,90,HDOSPERT,4.166666667,LSAM,6.75,1,0,1,50,4.0,0.75,0.714285714,0.285714286,0.714285714,5,7,13,HDTD,68,0,2,-1,1,49.5,19.5,-0.61125,-0.675,0.18375,0.44,3.25625,0.0875,0,0,0,3,False,False,True,1.824382453,1.93929197,1,1.1896368333333334,0.9
1997,occnwj,893,AAJ1ZQECDZBEE,1650087,Right,14,LPDI,0,LCAPS,6,LASI,81,LDOSPERT,5.5,HSAM,6.166666667,1,1,4,100,4.0,1.0,0.857142857,1.0,0.0,0,2,5,LDTD,74,0,0,0,0,75.5,25.5,-0.6525,0.45125,0.52875,0.225,4.51,0.35625,0,0,1,3,False,False,True,1.676584873,1.41380911,1,1.0037,0.9666666666666667
734,ljfhts,561,A16184N1RO5OJV,1650099,Left,43,HPDI,55,HCAPS,16,HASI,51,LDOSPERT,4.5,LSAM,6.333333333,0,0,3,100,5.0,0.75,0.714285714,0.857142857,0.142857143,3,5,9,LDTD,40,0,0,0,0,57.5,17.5,-0.61875,-0.19,0.2975,0.24375,3.92125,0.19,0,0,2,3,False,False,True,0.408199002,3.036291972,1,2.9132034615384614,0.6923076923076923
3181,koblxj,504,A2TG7EEQ2XG2IK,1650107,Right,0,LPDI,0,LCAPS,1,LASI,83,HDOSPERT,6.333333333,HSAM,6.666666667,0,1,1,100,5.0,0.0,0.642857143,0.285714286,0.714285714,0,0,11,HDTD,55,-3,-2,-2,-7,49.5,1.5,-0.13,0.9675,0.75875,0.4375,3.22,0.335,0,0,0,3,False,False,True,0.942659551,3.583326998,1,2.6727273214285714,0.8571428571428571
2234,gwaszm,789,A25N802S4J344I,1650123,Left,45,HPDI,32,HCAPS,15,HASI,99,HDOSPERT,5.666666667,HSAM,5.916666667,1,1,3,20,5.0,1.0,0.928571429,0.714285714,0.285714286,8,7,11,HDTD,44,0,0,0,0,50.0,0.0,-0.195,0.4,0.51625,0.45375,2.7225,0.22125,0,1,0,3,False,False,True,2.000045759,1.240461417,1,1.1496736666666665,0.9
3269,msdwhk,474,A1GQ2Q1USIMC63,1650129,Right,38,HPDI,5,LCAPS,3,LASI,89,HDOSPERT,6.333333333,HSAM,5.25,0,1,3,0,4.0,1.0,0.642857143,0.571428571,0.428571429,3,4,12,HDTD,85,0,0,0,0,53.0,0.0,-0.06125,1.27375,0.87375,0.37125,3.13,0.4375,0,0,0,3,False,False,True,1.021895851,1.155021187,1,1.023848,0.7333333333333333
2085,brgtvy,352,A3IO4P2AU6NA18,1650130,Right,20,LPDI,0,LCAPS,2,LASI,122,HDOSPERT,5.5,HSAM,4.833333333,1,1,3,67,4.0,0.75,0.928571429,0.714285714,0.285714286,2,3,30,HDTD,55,0,0,0,0,51.5,0.0,-0.12375,0.865,0.67,0.4425,3.28375,0.23375,0,0,0,3,False,False,True,1.513132847,2.872326229,1,1.4141656666666667,0.9333333333333333
1490,xznyif,597,ASZSPKARH2RXY,1650135,Right,30,HPDI,10,LCAPS,16,HASI,82,HDOSPERT,5.0,LSAM,6.5,1,1,3,25,4.0,0.5,0.785714286,0.571428571,0.285714286,3,3,8,LDTD,65,0,0,0,0,57.0,1.0,-0.4025,-0.1075,0.34375,0.28125,3.46625,0.14125,1,0,0,3,False,False,True,1.357063055,3.079942928,1,1.5007489999999999,0.9
877,pisdmy,170,A34LSCB90T5KYE,1650195,Left,75,HPDI,153,HCAPS,16,HASI,74,LDOSPERT,4.5,LSAM,4.916666667,0,1,3,60,4.0,0.5,0.714285714,0.142857143,0.857142857,5,7,8,LDTD,71,-6,-4,-4,-14,54.5,4.5,-0.0425,2.07,1.2675,0.1575,5.01625,0.49875,0,0,0,3,False,False,True,2.910921065,1.774494712,1,1.049058,0.9333333333333333
615,uhcvwc,725,A3GAQNTZ1V1VO,1650198,Right,0,LPDI,0,LCAPS,0,LASI,70,LDOSPERT,4.333333333,LSAM,7.166666667,1,1,4,30,4.0,1.0,0.928571429,0.857142857,0.142857143,0,0,17,HDTD,62,0,0,1,1,51.0,0.5,-0.23125,0.02125,0.38125,0.57875,2.59875,0.17125,1,0,0,3,False,False,True,1.704266362,2.72333604,1,1.3153303333333333,0.9666666666666667
2115,bgqjqa,512,A212OY08MFDGU3,1650211,Left,26,HPDI,0,LCAPS,0,LASI,129,HDOSPERT,5.5,HSAM,5.833333333,0,1,2,75,5.0,1.0,0.571428571,0.571428571,0.428571429,4,4,9,LDTD,62,0,0,0,0,45.5,4.5,-0.21125,1.48125,0.92875,0.24375,3.8225,0.4625,0,4,0,3,False,False,True,1.485905976,1.850964758,1,0.8836651724137932,0.9310344827586207
236,gpqqou,182,A33JJY3A6V90QM,1650220,Right,7,LPDI,0,LCAPS,2,LASI,59,LDOSPERT,3.166666667,LSAM,6.333333333,0,1,1,100,1.0,0.5,0.5,0.428571429,0.571428571,1,1,9,LDTD,100,0,0,0,0,50.0,0.0,-0.475,0.05875,0.3825,0.2625,3.45375,0.31375,0,0,0,3,False,False,True,1.010035154,1.843180315,1,1.33742,0.8
2857,ywcjhx,384,A3N5RLYH05PY8L,1650236,Left,10,LPDI,11,LCAPS,4,LASI,61,LDOSPERT,6.166666667,HSAM,5.75,0,1,1,100,5.0,0.75,0.428571429,0.857142857,0.0,0,1,12,HDTD,90,0,0,0,0,68.0,12.5,-0.94625,-0.225,0.405,0.12375,4.965,0.39875,0,0,0,3,False,False,True,0.344352611,1.198858349,1,0.8502926666666667,0.6
416,thwpqb,470,A1VKND3W5E5W1S,1650241,Left,20,LPDI,39,HCAPS,15,HASI,57,LDOSPERT,3.666666667,LSAM,6.0,0,1,4,100,3.0,1.0,0.928571429,0.0,0.714285714,0,2,9,LDTD,76,0,0,0,0,50.5,0.5,-0.18625,1.25375,0.89875,0.28625,3.95125,0.415,0,0,0,3,False,False,True,0.532813484,4.359679262,1,3.749584,0.8
2801,owgdgg,447,A12NO2MNOIREXA,1650452,Left,26,HPDI,85,HCAPS,12,HASI,52,LDOSPERT,6.166666667,HSAM,6.416666667,1,1,3,70,5.0,0.75,0.428571429,0.857142857,0.142857143,4,3,12,HDTD,65,-9,-5,-5,-19,47.5,0.5,-0.39875,0.45625,0.56125,0.38875,4.00125,0.1875,0,0,0,2,False,False,True,0.765881146,1.424393923,1,1.0738073333333333,0.7333333333333333
3151,zvcphw,670,AYIFHDQSXQJ6B,1650514,Left,48,HPDI,33,HCAPS,7,HASI,77,LDOSPERT,6.333333333,HSAM,6.25,0,1,2,50,5.0,0.25,0.642857143,0.428571429,0.571428571,4,5,11,HDTD,76,0,0,0,0,50.0,0.0,-0.72875,0.10625,0.47875,0.20375,4.4175,0.3725,1,0,1,3,False,False,True,-0.168487493,2.298824462,1,2.0446226671333334,0.5
86,qfbcvl,277,A38QGJJOZANQ4B,1651458,Left,26,HPDI,32,HCAPS,13,HASI,119,HDOSPERT,2.0,LSAM,6.833333333,1,1,2,0,4.0,1.0,0.5,0.285714286,0.714285714,3,3,8,LDTD,75,0,0,2,2,50.5,12.5,-0.4025,1.44375,0.89625,0.355,4.13875,0.52375,0,1,0,3,False,False,True,1.54675761,1.612477296,1,0.929981,0.9
2593,rqzuyt,43,A1SSYN7TXMTJS4,1651774,Left,6,LPDI,0,LCAPS,2,LASI,68,LDOSPERT,6.0,HSAM,7.5,1,1,3,100,5.0,0.25,0.785714286,0.0,1.0,0,1,3,LDTD,25,0,0,0,0,24.0,26.0,-0.575,-0.5125,0.26625,0.405,3.57875,0.2075,1,0,1,3,False,False,True,0.11016385,1.594493861,1,1.2012777586206895,0.4827586206896552
386,pqddtd,417,A110KENBXU7SUJ,1652166,Right,39,HPDI,20,HCAPS,5,LASI,55,LDOSPERT,3.666666667,LSAM,4.833333333,1,1,1,50,5.0,1.0,1.0,0.857142857,0.142857143,4,4,9,LDTD,83,0,0,0,0,57.5,7.5,-0.32375,0.4325,0.575,0.405,3.315,0.3475,1,0,0,3,False,False,True,1.832776737,3.171728106,1,1.2598226666666668,0.9666666666666667
1579,ybozno,773,A1JJNB108BPMRN,1652284,Left,44,HPDI,62,HCAPS,14,HASI,95,HDOSPERT,5.0,LSAM,7.5,0,1,2,60,5.0,1.0,0.928571429,0.857142857,0.142857143,7,7,10,HDTD,67,-3,0,0,-3,50.5,0.5,-0.37375,0.55125,0.61,0.38,3.40125,0.3675,0,0,0,3,False,False,True,0.848391895,2.400927549,1,1.8709479999999998,0.8333333333333334
2323,kpctlo,744,A2JTIULYK1B15I,1653104,Left,6,LPDI,8,LCAPS,0,LASI,50,LDOSPERT,5.833333333,HSAM,7.0,0,0,4,10,4.0,1.0,1.0,0.714285714,0.142857143,1,1,10,HDTD,50,0,-1,-1,-2,50.0,0.5,-0.2525,0.995,0.81625,0.32625,3.9675,0.39875,0,0,0,3,False,False,True,0.652570907,2.373154944,1,2.2008476666666668,0.8
2622,xzlmtw,7,A4CHLWPHZIP7Y,1653229,Left,22,HPDI,50,HCAPS,10,HASI,71,LDOSPERT,6.0,HSAM,4.833333333,0,1,3,40,5.0,1.0,0.857142857,0.857142857,0.142857143,3,2,12,HDTD,75,-5,0,0,-5,51.0,0.5,-0.45,1.14,0.8675,0.22125,4.7225,0.45,0,0,0,3,False,False,True,2.095873556,0.919050827,1,0.7578368965517241,0.8620689655172413
3209,jscpfy,702,A2RRDATXKQ8HHC,1653334,Right,38,HPDI,4,LCAPS,6,LASI,84,HDOSPERT,6.333333333,HSAM,6.166666667,1,1,3,10,3.0,0.75,0.857142857,0.857142857,0.0,3,5,12,HDTD,71,-4,-1,-4,-9,60.0,5.5,-0.36375,0.475,0.64,0.315,3.42625,0.37625,0,0,0,3,False,False,True,0.990405768,2.840370964,1,1.5547955,0.9
997,risblr,245,A2HHKBW8HQWI66,1653340,Right,0,LPDI,0,LCAPS,0,LASI,51,LDOSPERT,4.666666667,LSAM,6.5,1,1,3,0,5.0,0.75,0.928571429,1.0,0.0,0,0,8,LDTD,55,-4,0,0,-4,50.5,0.5,-0.1625,0.85,0.63375,0.41125,2.75,0.31625,0,1,0,3,False,False,True,1.04632568,2.177612156,1,1.431597,0.9333333333333333
645,pbzaob,129,A1DKVUTOBPQH11,1653354,Left,29,HPDI,47,HCAPS,17,HASI,75,LDOSPERT,4.333333333,LSAM,6.833333333,1,1,3,100,1.0,1.0,0.714285714,1.0,0.0,3,4,12,HDTD,88,0,0,0,0,73.5,10.0,-0.3575,0.6375,0.75875,0.41375,3.7075,0.38375,1,0,0,3,False,False,True,3.327768843,0.986483123,1,0.6481101666666667,0.9333333333333333
1027,xuvolq,726,A2DNLHS1RSTF5R,1653359,Right,24,HPDI,4,LCAPS,0,LASI,67,LDOSPERT,4.666666667,LSAM,6.166666667,0,1,4,100,4.0,0.75,0.428571429,0.714285714,0.285714286,1,3,8,LDTD,74,-9,0,0,-9,50.5,0.5,-0.18375,0.69875,0.74125,0.5,3.08,0.41875,0,0,0,3,False,False,True,0.517918845,1.758197212,1,1.4153511111111112,0.7777777777777778
3883,xjjczg,275,A22DL4DE4DYB0,1653378,Left,0,LPDI,0,LCAPS,5,LASI,57,LDOSPERT,7.333333333,HSAM,5.333333333,1,1,3,0,5.0,1.0,0.714285714,0.428571429,0.571428571,0,0,9,LDTD,77,-11,-9,-10,-30,49.0,1.0,-0.60875,0.3275,0.5725,0.2425,4.38375,0.3675,0,0,0,3,False,False,True,0.602711356,2.815848174,1,2.077439137931034,0.7241379310344828
3358,rsbjpk,344,A1YGF0LJJGB30G,1653394,Right,35,HPDI,0,LCAPS,0,LASI,96,HDOSPERT,6.5,HSAM,5.0,1,1,1,0,3.0,0.75,0.857142857,0.0,1.0,4,4,14,HDTD,85,0,0,0,0,50.5,0.5,-0.39125,0.23375,0.6675,0.35125,3.6525,0.44875,0,0,0,3,False,False,True,0.415384884,2.823082873,1,2.0996633333333334,0.6333333333333333
1759,chlelw,903,A2YVC1U50H2B4R,1653404,Left,6,LPDI,8,LCAPS,5,LASI,78,LDOSPERT,5.333333333,LSAM,5.666666667,0,1,3,10,5.0,0.25,0.714285714,0.714285714,0.285714286,0,1,3,LDTD,51,0,0,0,0,56.0,0.5,-0.3725,0.55375,0.645,0.3975,3.8525,0.29375,0,1,1,3,False,False,True,1.936339827,1.377427315,1,0.9227946666666667,0.9
2741,ojdilv,919,A1SX9DT3XHX845,1653408,Left,0,LPDI,25,HCAPS,9,HASI,89,HDOSPERT,6.0,HSAM,5.583333333,1,1,2,0,3.0,0.25,0.857142857,0.714285714,0.285714286,0,0,3,LDTD,40,0,0,0,0,50.0,10.0,-0.6325,0.28125,0.7225,0.1625,4.4975,0.45875,0,1,2,3,False,False,True,0.654098751,3.620580236,1,2.8679425,0.8333333333333334
2533,lrhtwt,255,AVJUIF9QHQRY8,1653413,Left,43,HPDI,35,HCAPS,17,HASI,86,HDOSPERT,5.833333333,HSAM,5.666666667,0,1,2,100,1.0,0.0,0.571428571,0.714285714,0.285714286,3,6,4,LDTD,66,-9,0,-12,-21,65.5,8.0,-0.22,1.25875,0.89625,0.27875,3.7925,0.49125,1,0,0,3,False,False,True,-0.046388868,2.582048683,1,2.6504636666666666,0.5
3942,cxuuil,105,AMX5R6NLYNA2K,1653459,Right,40,HPDI,14,HCAPS,6,LASI,92,HDOSPERT,7.333333333,HSAM,5.75,1,1,3,55,5.0,0.25,0.714285714,0.857142857,0.0,3,4,3,LDTD,20,-5,0,-5,-10,57.5,5.5,-0.56125,0.31375,0.54375,0.3475,3.83625,0.395,0,0,0,3,False,False,True,0.66571773,2.426173439,1,1.8137325,0.9
1054,syonmu,246,A2IQ0QCTQ3KWLT,1653481,Left,8,LPDI,33,HCAPS,3,LASI,90,HDOSPERT,4.666666667,LSAM,6.583333333,0,1,1,50,4.0,0.0,0.5,0.142857143,0.857142857,2,2,8,LDTD,77,0,0,0,0,56.0,0.5,-0.81375,-0.61375,0.20375,0.24875,3.4575,0.19625,0,1,0,3,False,False,True,4.515587393,2.055627588,1,0.7159198333333333,1.0
266,ovrhkb,405,A1AF6EW9YUMER9,1653654,Left,4,LPDI,0,LCAPS,4,LASI,60,LDOSPERT,3.166666667,LSAM,5.666666667,1,1,4,0,5.0,0.5,0.928571429,1.0,0.0,1,1,11,HDTD,70,-5,-5,-5,-15,60.0,5.0,-0.33125,0.53,0.58875,0.38625,3.45,0.29125,0,2,0,3,False,False,True,2.994320783,3.582048819,1,1.1041334999999999,0.9666666666666667
1114,rhgskd,89,A3DKYNYN50FYFY,1653736,Left,71,HPDI,0,LCAPS,6,LASI,146,HDOSPERT,4.666666667,LSAM,6.166666667,1,1,3,100,5.0,1.0,1.0,1.0,0.0,4,7,8,LDTD,55,-2,-2,-1,-5,53.5,0.5,-0.4875,0.22625,0.4925,0.18375,4.1925,0.23875,0,0,0,3,False,False,True,0.876468728,1.556836453,1,1.5158666666666667,0.9
3622,lcmhui,45,A3UZW1NTOX6I15,1653782,Left,28,HPDI,0,LCAPS,4,LASI,70,LDOSPERT,6.833333333,HSAM,5.833333333,1,1,3,90,3.0,0.25,0.571428571,0.428571429,0.571428571,2,2,8,LDTD,60,0,0,0,0,50.0,10.0,-0.71,-0.75875,0.1475,0.3925,3.2875,0.1475,1,0,2,3,False,False,True,0.434350149,2.220914826,1,3.1087084090909087,0.7727272727272727
326,lzfgvv,660,A11EL5LWS2L1HX,1653785,Right,21,LPDI,0,LCAPS,0,LASI,44,LDOSPERT,3.333333333,LSAM,6.583333333,0,0,1,60,4.0,0.5,0.5,0.285714286,0.714285714,3,3,9,LDTD,63,-1,-2,0,-3,52.5,1.0,-0.3,1.10875,0.86625,0.31,4.01625,0.46375,0,0,0,3,False,False,True,0.665768766,2.854611391,1,1.999696,0.8666666666666667
3443,osioix,697,A110BZSDZN7E16,1653919,Right,16,LPDI,0,LCAPS,0,LASI,77,LDOSPERT,6.666666667,HSAM,5.916666667,1,1,1,100,4.0,1.0,0.571428571,0.714285714,0.285714286,1,2,8,LDTD,59,-4,-4,-3,-11,53.5,0.0,-0.77,1.1e-16,0.4,0.35375,4.1875,0.33625,0,0,0,3,False,False,True,0.83639481,3.02107043,1,2.102434833333333,0.9
3061,zrlvor,859,A3KAW0XBBXOQQY,1653983,Left,48,HPDI,129,HCAPS,27,HASI,64,LDOSPERT,6.333333333,HSAM,6.75,0,1,4,100,4.0,0.75,0.571428571,0.285714286,0.714285714,5,5,12,HDTD,100,0,0,0,0,56.5,0.5,-0.3525,1.355,0.89625,0.225,4.38625,0.4575,0,3,0,3,False,False,True,1.2889283,0.971545737,1,0.7974923333333332,0.9
2971,zyeczc,467,A3EUGO4VR2N4G1,1654074,Left,5,LPDI,12,LCAPS,14,HASI,114,HDOSPERT,6.166666667,HSAM,6.5,1,1,3,0,5.0,1.0,0.642857143,0.714285714,0.285714286,0,1,7,LDTD,57,-5,-3,-2,-10,58.0,0.5,-0.425,0.28375,0.445,0.35,2.9975,0.2225,0,0,0,3,False,False,True,1.210225535,3.599918776,1,2.2482808333333333,1.0
790,jfvqvl,40,AT7QJKGCPSO6J,1654153,Left,30,HPDI,9,LCAPS,6,LASI,61,LDOSPERT,4.5,LSAM,5.333333333,1,1,3,50,5.0,1.0,0.857142857,0.857142857,0.142857143,3,4,14,HDTD,90,-2,-4,-1,-7,59.0,0.5,-0.57375,-0.04,0.3375,0.3675,3.1,0.21,0,0,0,3,False,False,True,1.308781315,2.65982372,1,1.8350916666666666,0.9666666666666667
3121,ozqonn,478,A2KRL7VU5BA72,1654261,Left,151,HPDI,198,HCAPS,24,HASI,75,LDOSPERT,6.333333333,HSAM,6.666666667,1,1,4,50,5.0,1.0,0.571428571,0.428571429,0.571428571,12,16,12,HDTD,100,-4,-11,3,-12,49.5,1.0,-0.17125,0.86875,0.75875,0.365,3.3775,0.3825,0,0,0,3,False,False,True,2.049051148,1.388522641,1,0.848948,0.9
